date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:49:47	191066/191066	---M-Z	200	added ('OK')	text/html	etag:%222ea5a-601fab21d9980-gzip%22	https://jthemes.net/themes/html/kidify/index-5.html	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/index-5.html	(from )
16:49:47	14/14	---M--	200	added ('OK')	text/plain	etag:%22e-604bde673af7a%22	https://jthemes.net/robots.txt		(from )
16:49:47	4911/4911	---M--	200	added ('OK')	image/svg+xml	etag:%22132f-601f8a837a480%22	https://jthemes.net/themes/html/kidify/assets/imgs/template/favicon.svg	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/assets/imgs/template/favicon.svg	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:48	199379/199379	---M-Z	200	added ('OK')	text/css	etag:%2230ad3-601fab5741780-gzip%22	https://jthemes.net/themes/html/kidify/assets/css/style.css?v=1.0.0	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/assets/css/stylee209.css	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:48	207193/207193	---M-Z	200	added ('OK')	text/html	etag:%2232959-60275e44dd840-gzip%22	https://jthemes.net/themes/html/kidify/index.html	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/index.html	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:48	18551/18551	---M--	200	added ('OK')	image/svg+xml	etag:%224877-601f8a837a480%22	https://jthemes.net/themes/html/kidify/assets/imgs/template/logo.svg	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/assets/imgs/template/logo.svg	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:48	49699/49699	---M-Z	200	added ('OK')	text/html	etag:%22c223-601fab1c20c00-gzip%22	https://jthemes.net/themes/html/kidify/compare.html	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/compare.html	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:48	145376/145376	---M-Z	200	added ('OK')	text/html	etag:%22237e0-601fab1e09080-gzip%22	https://jthemes.net/themes/html/kidify/index-2.html	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/index-2.html	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:49	211083/211083	---M-Z	200	added ('OK')	text/html	etag:%223388b-601fab1ff1500-gzip%22	https://jthemes.net/themes/html/kidify/index-3.html	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/index-3.html	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:49	350342/350342	---M-Z	200	added ('OK')	text/html	etag:%2255886-601fab1ff1500-gzip%22	https://jthemes.net/themes/html/kidify/index-4.html	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/index-4.html	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:49	117767/117767	---M-Z	200	added ('OK')	text/html	etag:%221cc07-601fab25aa280-gzip%22	https://jthemes.net/themes/html/kidify/product-list.html	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/product-list.html	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:49	160365/160365	---M--	200	added ('OK')	image/png	etag:%222726d-601f8a837a480%22	https://jthemes.net/themes/html/kidify/assets/imgs/template/megamenu.png	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/assets/imgs/template/megamenu.png	(from https://jthemes.net/themes/html/kidify/index-5.html)
16:49:50	46272/46272	---M-Z	200	added ('OK')	text/html	etag:%22b4c0-601fab1850300-gzip%22	https://jthemes.net/themes/html/kidify/about.html	C:/My%20Web%20Sites/baby5/jthemes.net/themes/html/kidify/about.html	(from https://jthemes.net/themes/html/kidify/index-5.html)
